               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10432,            0.032937,            0.034786,           0.0016839,             0.22227,           0.0034083,            0.000802,            0.090363,            0.029576,            0.030227,            0.070526,           0.0032749,           0.0032749
                   1,            0.088543,            0.030978,            0.025906,            0.093971,            0.094719,            0.047803,            0.011869,            0.090903,            0.024322,            0.025996,            0.040472,           0.0065537,           0.0065537
                   2,            0.085876,            0.027795,            0.022701,             0.10634,             0.25719,            0.065384,             0.01791,            0.087008,            0.028499,            0.023876,            0.010362,           0.0097775,           0.0097775
                   3,             0.07758,            0.026469,             0.02062,             0.15391,             0.28692,             0.12415,            0.036052,             0.07656,            0.027587,            0.020354,           0.0097525,           0.0097525,           0.0097525
                   4,            0.072741,            0.026561,            0.018889,             0.25406,             0.31409,             0.21682,            0.065052,            0.070818,            0.026664,            0.019191,           0.0097525,           0.0097525,           0.0097525
                   5,            0.069472,            0.025801,            0.017798,             0.31374,             0.29031,             0.23173,            0.080409,            0.069892,            0.024365,            0.022966,             0.00967,             0.00967,             0.00967
                   6,             0.06754,            0.026001,             0.01702,             0.32642,             0.31211,             0.26108,            0.090993,            0.070507,            0.027074,            0.019756,           0.0095875,           0.0095875,           0.0095875
                   7,            0.066912,            0.025634,             0.01586,             0.36116,             0.32322,             0.25736,            0.086513,            0.069672,            0.025181,            0.019699,            0.009505,            0.009505,            0.009505
                   8,            0.065405,            0.025609,            0.014978,             0.38451,             0.33792,             0.30065,             0.11114,            0.066506,            0.023353,            0.018382,           0.0094225,           0.0094225,           0.0094225
                   9,            0.064525,            0.024918,              0.0155,             0.41356,              0.3632,             0.32698,             0.12294,            0.065946,            0.024137,            0.017633,             0.00934,             0.00934,             0.00934
                  10,            0.063555,             0.02512,            0.014959,             0.47396,             0.43098,             0.40355,             0.15436,            0.063126,             0.02263,            0.015281,           0.0092575,           0.0092575,           0.0092575
