               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.092507,            0.026208,            0.026213,            0.069843,             0.11363,            0.026778,           0.0056918,            0.096871,            0.022969,            0.025595,            0.070265,           0.0033038,           0.0033038
                   1,            0.084037,            0.024823,            0.022992,             0.04329,            0.079711,            0.020711,           0.0064164,            0.088368,            0.025956,            0.025574,            0.040183,            0.006555,            0.006555
                   2,            0.082789,            0.024819,            0.022014,            0.029209,            0.013835,           0.0059342,           0.0015347,             0.10187,            0.031517,            0.026865,            0.010019,           0.0097237,           0.0097237
                   3,             0.08145,            0.024482,            0.021692,             0.12966,             0.23911,            0.099553,            0.025623,            0.083581,            0.040071,            0.022786,           0.0096288,           0.0096288,           0.0096288
                   4,            0.079903,            0.025083,            0.020836,             0.17748,             0.26568,             0.13256,            0.047622,            0.080343,            0.022293,            0.021545,           0.0096288,           0.0096288,           0.0096288
                   5,              0.0784,            0.024732,            0.020137,             0.17425,            0.084074,             0.06275,            0.021824,            0.084626,            0.025829,            0.023223,            0.009505,            0.009505,            0.009505
                   6,            0.077131,            0.024641,            0.019575,              0.2155,             0.21138,             0.11912,            0.036669,            0.078422,            0.026087,            0.021084,           0.0093813,           0.0093813,           0.0093813
                   7,            0.076128,            0.024344,            0.019244,              0.1873,             0.11867,             0.07482,             0.02183,            0.087904,            0.030591,            0.025015,           0.0092575,           0.0092575,           0.0092575
                   8,            0.076148,            0.023701,            0.018963,             0.15752,             0.17469,            0.096216,            0.032365,            0.080117,            0.025279,            0.020994,           0.0091337,           0.0091337,           0.0091337
                   9,            0.074857,            0.024185,            0.019381,             0.22791,             0.23572,              0.1589,             0.04978,            0.078169,            0.021216,            0.021019,             0.00901,             0.00901,             0.00901
                  10,            0.074958,            0.023443,            0.019147,             0.23667,             0.23661,             0.17761,            0.057246,            0.075872,            0.023827,            0.020952,           0.0088863,           0.0088863,           0.0088863
                  11,            0.074702,            0.024093,            0.018726,               0.248,             0.24615,              0.1486,            0.050695,            0.076021,            0.023214,            0.019524,           0.0087625,           0.0087625,           0.0087625
                  12,            0.074067,             0.02431,            0.018441,            0.093054,            0.066134,            0.028683,           0.0090196,            0.083958,            0.027845,            0.028776,           0.0086388,           0.0086388,           0.0086388
                  13,            0.074707,            0.023862,            0.018577,             0.22226,             0.23077,             0.17729,            0.055132,            0.077703,             0.02242,            0.020409,            0.008515,            0.008515,            0.008515
                  14,            0.073816,            0.024184,            0.017697,             0.22549,             0.26461,             0.17004,            0.060648,            0.078475,            0.021257,            0.019821,           0.0083913,           0.0083913,           0.0083913
                  15,            0.073231,            0.024025,            0.017704,             0.23398,             0.21006,             0.14777,             0.04524,            0.077508,            0.026801,            0.020435,           0.0082675,           0.0082675,           0.0082675
                  16,            0.072942,            0.024358,            0.018149,             0.28756,             0.27749,             0.21142,            0.071202,            0.073811,            0.021716,            0.018816,           0.0081437,           0.0081437,           0.0081437
                  17,            0.072845,            0.023877,             0.01776,             0.27118,             0.25518,             0.19241,             0.05723,            0.074693,             0.02192,            0.019552,             0.00802,             0.00802,             0.00802
                  18,            0.072832,            0.023702,            0.018403,             0.26855,             0.25091,             0.19237,            0.068406,             0.07592,            0.023782,            0.019203,           0.0078963,           0.0078963,           0.0078963
                  19,            0.072415,            0.023322,            0.017256,             0.29292,             0.29186,             0.23368,            0.082834,             0.07195,            0.020867,            0.018692,           0.0077725,           0.0077725,           0.0077725
                  20,            0.072202,            0.023553,            0.017174,             0.26721,             0.31862,              0.1908,            0.058271,            0.073432,             0.02237,            0.019922,           0.0076488,           0.0076488,           0.0076488
